Stations_id,Bezugszeitraum,Jan.,Feb.,März,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
1530,1981-2010,58,53,63,56,74,91,108,101,73,55,73,72,876
1531,1981-2010,54,49,58,60,85,94,101,92,77,66,63,68,865
1533,1981-2010,52,42,45,35,46,60,58,47,48,42,44,55,573
1534,1981-2010,50,42,46,44,60,67,76,48,55,54,57,58,656
1536,1981-2010,54,36,44,34,51,60,61,66,53,48,51,54,613
1538,1981-2010,80,74,87,64,82,90,89,64,69,88,77,97,960
1540,1981-2010,71,52,63,43,63,74,79,74,70,65,65,72,790
1542,1981-2010,49,46,61,47,77,98,111,96,71,56,61,68,840
1544,1981-2010,44,35,43,35,50,53,59,53,48,40,41,46,546
1546,1981-2010,74,53,62,39,48,76,83,88,90,104,86,78,881
1550,1981-2010,75,68,100,88,132,174,184,183,109,84,89,83,1370
1554,1981-2010,54,40,45,37,48,68,63,57,57,53,49,57,628
1558,1981-2010,41,37,48,42,56,67,88,74,54,39,50,51,646
1561,1981-2010,84,69,83,62,79,81,93,68,80,89,85,97,970
1562,1981-2010,63,44,53,43,55,76,75,65,64,59,57,65,719
1565,1981-2010,99,73,80,59,70,92,106,82,87,82,84,102,1014
1566,1981-2010,127,108,118,85,94,82,103,87,99,97,114,143,1258
1570,1981-2010,87,74,79,68,75,66,86,77,68,65,80,94,919
1573,1981-2010,59,49,59,53,71,65,72,61,62,54,63,66,733
1575,1981-2010,46,41,52,42,67,83,84,78,58,52,54,57,715
1577,1981-2010,59,52,65,53,66,73,78,55,64,65,63,68,760
1578,1981-2010,48,42,57,49,79,90,89,85,64,59,55,61,780
1580,1981-2010,41,35,40,36,50,52,61,43,47,49,45,49,546
1588,1981-2010,44,43,49,42,60,63,68,46,52,54,50,54,624
1589,1981-2010,73,55,64,49,71,72,65,64,73,69,69,77,800
1590,1981-2010,69,54,63,47,65,68,73,68,66,68,71,71,782
1595,1981-2010,83,63,74,50,71,77,82,84,80,79,78,86,905
1598,1981-2010,52,50,59,48,62,69,64,57,61,56,55,60,692
1599,1981-2010,79,59,69,54,75,70,84,66,70,72,69,82,846
1601,1981-2010,68,56,58,46,64,67,72,57,58,60,63,75,744
1602,1981-2010,69,66,81,80,116,105,109,95,84,92,76,97,1068
1607,1981-2010,49,45,53,45,71,74,87,67,57,55,55,58,715
1609,1981-2010,109,75,88,55,66,83,88,78,82,90,91,107,1013
1610,1981-2010,40,36,48,46,66,75,98,85,58,39,51,49,690
1611,1981-2010,41,38,45,41,57,67,80,70,55,38,52,49,632
1612,1981-2010,36,33,43,42,59,63,74,73,57,38,53,48,619
1613,1981-2010,35,32,42,39,53,61,67,64,47,36,47,44,566
1617,1981-2010,42,34,45,42,63,56,66,50,49,36,41,46,570
1619,1981-2010,39,39,49,45,70,61,68,52,57,60,51,53,643
1621,1981-2010,86,62,70,50,69,64,82,67,72,75,79,93,871
1626,1981-2010,72,60,70,57,89,86,97,85,68,70,72,82,909
1639,1981-2010,51,42,52,43,68,61,70,56,57,55,54,58,666
1643,1981-2010,66,46,63,48,63,75,75,67,64,61,64,74,767
1645,1981-2010,63,48,55,47,71,69,66,62,64,58,62,69,733
1646,1981-2010,56,39,44,37,44,69,68,61,57,58,52,59,643
1648,1981-2010,89,66,72,50,70,64,73,67,68,73,76,93,861
1649,1981-2010,43,34,39,35,48,56,58,56,47,41,46,48,550
1650,1981-2010,67,71,68,46,67,59,71,66,62,65,72,91,806
1652,1981-2010,78,60,70,52,70,78,90,61,72,68,69,84,853
1654,1981-2010,45,39,49,41,58,64,83,73,54,40,55,55,655
1658,1981-2010,57,45,57,47,67,80,72,66,63,52,60,66,733
1663,1981-2010,62,58,79,73,102,118,146,135,94,74,78,78,1098
1665,1981-2010,74,54,63,42,55,68,75,68,76,85,71,76,805
1667,1981-2010,74,55,66,41,61,83,89,82,74,82,78,77,861
1669,1981-2010,47,33,43,33,51,64,52,53,49,40,44,50,559
1673,1981-2010,70,52,62,42,63,70,75,69,72,69,74,73,790
1674,1981-2010,86,76,88,62,95,85,96,83,74,84,80,98,1007
1679,1981-2010,43,43,45,39,57,51,58,52,47,55,47,53,589
1680,1981-2010,63,58,68,66,91,105,101,84,72,71,69,79,926
1684,1981-2010,46,37,49,40,58,66,87,80,53,40,49,51,656
1685,1981-2010,46,33,39,33,54,63,57,50,53,40,41,47,556
1687,1981-2010,42,39,50,45,63,72,82,71,58,45,60,56,682
1688,1981-2010,38,38,44,43,60,62,80,71,53,39,53,49,630
1689,1981-2010,82,67,75,57,74,82,86,70,80,75,81,95,924
1690,1981-2010,38,32,39,31,46,56,55,54,43,34,38,43,507
1691,1981-2010,52,39,52,41,65,66,66,58,56,46,54,56,651
1693,1981-2010,40,34,43,36,57,59,75,70,45,35,47,50,591
1697,1981-2010,44,36,41,36,55,54,61,62,42,31,45,50,558
1701,1981-2010,52,41,46,33,49,62,72,53,49,43,48,50,597
1703,1981-2010,29,29,37,38,55,52,70,57,41,30,41,40,517
1704,1981-2010,78,55,70,56,66,76,76,71,68,65,65,81,827
1708,1981-2010,36,35,47,44,67,58,68,56,49,39,49,46,593
1711,1981-2010,60,55,54,59,85,98,93,83,69,68,59,76,859
1714,1981-2010,51,37,43,36,53,68,63,63,64,52,52,53,635
1716,1981-2010,53,54,59,50,76,74,75,61,60,75,65,73,775
